,A,B,C,D
2000-01-01,-1.6612539616214435,-0.5020065428387027,-0.24280846549586826,-0.3623660470725558
2000-01-02,-1.9899437917410234,-1.8678927534862835,-0.2331144760619015,0.568047096619997
2000-01-03,-2.5139291689250385,-3.472198860942818,-1.6906995803564064,0.6030914939447751
2000-01-04,-1.905540120305114,-3.1114910945617718,-2.3088870523489446,0.797130837637484
2000-01-05,-1.810716042911712,-1.6433042954085113,-2.039315708925144,0.30506910096505174
2000-01-06,-2.8786538990685053,-2.0362565499954215,-0.629768959818225,-0.39575897463834847
2000-01-07,-2.3461436940780542,-1.8318290108834454,-0.7195462950771898,0.681089097400063
2000-01-08,-2.074756091649077,-0.7419069680697281,-0.7961863861779372,2.1568563604972897
2000-01-09,-1.6716796001462626,0.03658020004420903,-0.07959817987814455,2.278350307443979
2000-01-10,-0.9515704216649872,0.5859128389849069,1.3609244026312033,1.84026301176075
2000-01-11,0.5293530293606841,0.1949268570418975,2.093133622938141,-0.02165008050806816
2000-01-12,0.7650804464817988,0.9025693091509549,1.9097289489760172,-0.634611742704133
2000-01-13,1.5438578132808827,2.2036050274177605,-0.40521230977468825,-0.8394186413251684
2000-01-14,0.7065667344306769,2.4902739439103345,-0.350180222494224,-0.7101970295675082
2000-01-15,0.6232069342013971,3.2586687243606414,-1.694311345799393,0.17286008432428157
2000-01-16,-0.8536472121219163,3.497643168262575,-1.9365072742140041,0.6581825637585349
2000-01-17,0.49050016832233245,2.038102122215248,-0.9891715269489727,1.4263423019356911
2000-01-18,0.455946733113136,2.9996486703043588,-1.1626802611107367,1.8406481995333543
2000-01-19,-0.097293424875665,4.370402264443155,-0.8335443468024684,2.3693476505466906
2000-01-20,-0.41086706028092934,5.322055756575212,-0.6869706236247887,3.01081065697217
2000-01-21,-0.0015085103695102742,4.623922299640529,-1.727654933799455,3.4482004257038676
2000-01-22,-0.037503895462787366,3.532306609012519,-2.0029676271479517,2.9029495931761367
2000-01-23,0.6768627810224578,5.115541255673799,-1.5591386471144166,2.118306723743005
2000-01-24,0.5784105021455316,6.6477809469696085,-1.9591623616543137,4.2342484131261475
2000-01-25,1.9304606601678036,6.59756193640792,-0.5448249947110875,2.417141610893028
